1101,1,14-10-2023,18-10-2023,18-10-2023,1,12
1102,2,14-10-2023,18-10-2023,18-10-2023,2,23
1103,3,14-10-2023,18-10-2023,18-10-2023,1,12
1104,4,14-10-2023,18-10-2023,18-10-2023,2,23
1105,5,14-10-2023,18-10-2023,18-10-2023,1,15
1106,6,15-10-2023,19-10-2023,19-10-2023,1,12
1107,7,15-10-2023,19-10-2023,19-10-2023,2,23
1108,8,15-10-2023,19-10-2023,19-10-2023,1,15
1109,9,16-10-2023,20-10-2023,21-10-2023,1,12
1110,10,16-10-2023,20-10-2023,21-10-2023,2,23
1111,11,16-10-2023,20-10-2023,21-10-2023,1,15
1112,12,16-10-2023,20-10-2023,22-10-2023,1,12
1113,13,17-10-2023,21-10-2023,22-10-2023,2,23
1114,14,17-10-2023,21-10-2023,22-10-2023,1,15
1115,15,17-10-2023,21-10-2023,22-10-2023,1,12
